trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.4399011879686499, 'e': 0.2399011879686499}",25,3,30.79131825846335,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.4389856744117448, 'e': 0.2389856744117448}",25,16,15.061129469856056,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4380773414272351, 'e': 0.23807734142723508}",25,7,26.56824060139276,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.4371760772535336, 'e': 0.23717607725353357}",25,11,27.22024028801921,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4362817727181768, 'e': 0.23628177271817682}",20,0,28.543967665599098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.4353943211584629, 'e': 0.23539432115846284}",25,15,14.740474876342633,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.4345136183451067, 'e': 0.23451361834510667}",20,9,17.671379812390693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4336395624087771, 'e': 0.23363956240877706}",25,16,15.743790667963571,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4327720537693846, 'e': 0.2327720537693846}",25,0,41.842241010171286,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.43191099506799835, 'e': 0.23191099506799834}",20,15,-33.59778435753459,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.4310562911012753, 'e': 0.23105629110127526}",20,10,14.840150850669659,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4302078487582915, 'e': 0.23020784875829148}",25,9,23.861090544897163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.42936557695967026, 'e': 0.22936557695967022}",20,13,13.213050855716816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.42852938659890794, 'e': 0.22852938659890792}",20,0,31.03162040062619,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.4276991904858032, 'e': 0.22769919048580314}",20,12,15.213215424963225,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.4268749032918987, 'e': 0.22687490329189866}",30,22,15.438458266746657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.4260564414978516, 'e': 0.2260564414978516}",30,14,28.11870264230884,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.42524372334265015, 'e': 0.22524372334265017}",20,10,14.377338799398334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.42443666877460007, 'e': 0.22443666877460008}",25,14,23.926507765793904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.4236351994040067, 'e': 0.22363519940400667}",35,25,16.462950028471575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.42283923845748345, 'e': 0.22283923845748344}",20,0,31.46035791554325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.42204871073381967, 'e': 0.22204871073381968}",20,7,21.697684578976176,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4212635425613447, 'e': 0.2212635425613447}",20,16,9.120072510261604,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4204836617567269, 'e': 0.2204836617567269}",25,13,20.437267751723375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4197089975851517, 'e': 0.21970899758515164}",30,22,12.54174846975657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.41893948072182147, 'e': 0.21893948072182146}",25,14,16.972874305378276,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.4181750432147273, 'e': 0.2181750432147273}",30,15,23.54069195210952,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.4174156184486403, 'e': 0.2174156184486403}",25,14,18.49613680561326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
